slug,query,clicks,impressions,ctr,position
unterhalt-alimente,alimente für kinder,1,360,0.28,3.34
unterhalt-alimente,mindestunterhalt kinder österreich,1,320,0.31,9.76
unterhalt-alimente,scheidung unterhalt,1,282,0.35,15.47
unterhalt-alimente,unterhaltsrechner österreich ehegatten,1,276,0.36,3.19
unterhalt-alimente,wieviel alimente in österreich,1,246,0.41,7.78
unterhalt-alimente,mindest alimente österreich,1,211,0.47,10.95
unterhalt-alimente,wie viel alimente zahlt man in österreich,1,199,0.5,6.97
unterhalt-alimente,wie hoch sind alimente in österreich,1,198,0.51,6.49
unterhalt-alimente,alimente kinder österreich,1,179,0.56,6.67
unterhalt-alimente,alimente höchstgrenze,1,178,0.56,6.76
unterhalt-alimente,wann muss man unterhalt zahlen für die frau,1,175,0.57,4.81
unterhalt-alimente,alimente 2 kinder österreich,1,172,0.58,8.01
unterhalt-alimente,unterhaltsanspruch österreich,1,152,0.66,4.03
unterhalt-alimente,alimente in österreich,1,148,0.68,5.86
unterhalt-alimente,sonderbedarf alimente österreich,1,145,0.69,12.52
unterhalt-alimente,naturalunterhalt österreich,1,143,0.7,5.41
unterhalt-alimente,obergrenze alimente österreich,1,143,0.7,8.54
unterhalt-alimente,unterhalt für die frau,1,141,0.71,5.38
unterhalt-alimente,kindesunterhalt prozentsatz,1,140,0.71,3.94
unterhalt-alimente,unterhalt prozentsatz,1,136,0.74,4.41
unterhalt-alimente,unterhaltszahlung österreich,1,132,0.76,5.46
unterhalt-alimente,zählen alimente zum einkommen österreich,1,119,0.84,7.62
unterhalt-alimente,alimente wenn kind lehre macht,1,118,0.85,7.42
unterhalt-alimente,wie lange muss ich alimente zahlen,1,98,1.02,4.16
unterhalt-alimente,wie hoch sind die alimente für ein kind in österreich,1,95,1.05,7.81
unterhalt-alimente,unterhalt österreich scheidung,1,91,1.1,6.09
unterhalt-alimente,alimente rechner lehrling,1,89,1.12,7.36
unterhalt-alimente,kindesunterhalt berechnen,1,87,1.15,20.48
unterhalt-alimente,wie werden alimente berechnet österreich,1,83,1.2,7.06
unterhalt-alimente,unterhalt kinder österreich rechner,1,81,1.23,5.43
unterhalt-alimente,unterhalt scheidung,1,77,1.3,15.42
unterhalt-alimente,prozentsätze kindesunterhalt,1,75,1.33,5.33
unterhalt-alimente,alimente höchstgrenze österreich,1,69,1.45,7.65
unterhalt-alimente,unterhalt berechnen österreich,1,60,1.67,13.52
unterhalt-alimente,unterhalt tricks für frauen,1,59,1.69,4.24
unterhalt-alimente,alimente ab 18 österreich,1,58,1.72,3.47
unterhalt-alimente,regelbedarf alimente 2026,1,57,1.75,3.74
unterhalt-alimente,wie viel muss man alimente zahlen,1,57,1.75,6.63
unterhalt-alimente,alimente bis wann,1,55,1.82,5.6
unterhalt-alimente,wieviel alimente pro kind,1,55,1.82,6.62
unterhalt-alimente,alimente unterhalt unterschied,1,52,1.92,5.52
unterhalt-alimente,unterhaltsrechner ehefrau österreich,1,52,1.92,5.96
unterhalt-alimente,verletzung der unterhaltspflicht österreich,1,52,1.92,9.33
unterhalt-alimente,alimente 2026 österreich,1,51,1.96,8.04
unterhalt-alimente,alimente bis welches alter,1,50,2.0,5.94
unterhalt-alimente,bei scheidung unterhalt für frau,1,47,2.13,3.66
unterhalt-alimente,wie viel alimente,1,47,2.13,5.19
unterhalt-alimente,unterhaltsbemessungsgrundlage österreich,1,47,2.13,14.15
unterhalt-alimente,wann muss man unterhalt zahlen für die frau österreich,1,46,2.17,4.04
unterhalt-alimente,ab wann ist man selbsterhaltungsfähig,1,44,2.27,2.95
unterhalt-alimente,wie lange muss man alimente bezahlen,1,44,2.27,3.7
unterhalt-alimente,wie lange alimente zahlen österreich,1,41,2.44,2.51
unterhalt-alimente,muss man alimente zahlen wenn man verheiratet ist,1,41,2.44,5.34
unterhalt-alimente,alimente kind österreich,1,40,2.5,5.92
unterhalt-alimente,scheidung alimente österreich,1,40,2.5,5.97
unterhalt-alimente,unterhalt für frau,1,40,2.5,22.55
unterhalt-alimente,alimente zahlen wie lange,1,39,2.56,7.1
unterhalt-alimente,wer berechnet alimente,1,39,2.56,7.85
unterhalt-alimente,muss man alimente zahlen wenn man nicht verheiratet ist,1,38,2.63,2.92
unterhalt-alimente,naturalunterhalt,1,38,2.63,5.45
unterhalt-alimente,in österreich,1,37,2.7,3.08
unterhalt-alimente,wieviel muss man alimente zahlen,1,37,2.7,6.84
unterhalt-alimente,wie lange müssen alimente bezahlt werden,1,36,2.78,4.17
unterhalt-alimente,alimente kürzen österreich,1,36,2.78,4.33
unterhalt-alimente,wann muss ein mann unterhalt zahlen,1,35,2.86,3.29
unterhalt-alimente,billigkeitsunterhalt österreich,1,35,2.86,12.69
unterhalt-alimente,scheidungsrecht österreich unterhalt,1,34,2.94,5.44
unterhalt-alimente,unterhalt ab 18,1,34,2.94,21.68
unterhalt-alimente,wann muss man unterhalt für frau zahlen,1,33,3.03,3.82
unterhalt-alimente,wann bekommt man unterhalt nach scheidung,1,33,3.03,4.15
unterhalt-alimente,unterhalt exfrau,1,33,3.03,6.36
unterhalt-alimente,wer berechnet alimente in österreich,1,32,3.12,5.16
unterhalt-alimente,wie lange muss man alimente zahlen österreich,1,30,3.33,3.7
unterhalt-alimente,selbsterhaltungsfähigkeit unterhalt,1,30,3.33,7.37
unterhalt-alimente,alimente wien,1,30,3.33,10.37
unterhalt-alimente,kindesunterhalt bei trennung ohne scheidung,1,29,3.45,1.0
unterhalt-alimente,alimente wann erhöhung,1,27,3.7,3.74
unterhalt-alimente,unterhalt für kinder in österreich,1,25,4.0,5.2
unterhalt-alimente,unterhaltsverfahren,1,25,4.0,6.56
unterhalt-alimente,unterhalt existenzminimum österreich,1,25,4.0,10.04
unterhalt-alimente,familienrecht unterhalt,1,24,4.17,24.79
unterhalt-alimente,unterhaltsvorschuss österreich auszahlungstermine 2026,1,22,4.55,11.41
unterhalt-alimente,unterhalt österreich 2026,1,21,4.76,5.76
unterhalt-alimente,alimente kredit berücksichtigt österreich,1,20,5.0,13.75
unterhalt-alimente,unterhalt für exfrau,1,18,5.56,6.56
unterhalt-alimente,kindesunterhalt berechnen österreich,1,18,5.56,22.78
unterhalt-alimente,müssen eltern für erwachsene kinder aufkommen,1,17,5.88,2.94
unterhalt-alimente,unterhalt ohne ehe,1,17,5.88,3.0
unterhalt-alimente,unterhalt erhöhung 2026,1,15,6.67,6.8
unterhalt-alimente,unterhaltsgrenze österreich,1,15,6.67,7.33
unterhalt-alimente,gründe für herabsetzung der alimente,1,14,7.14,7.43
unterhalt-alimente,regelbedarf alimente österreich 2026,1,13,7.69,2.46
unterhalt-alimente,unterhalt frau nach scheidung,1,13,7.69,5.15
unterhalt-alimente,unterhalt ex frau,1,13,7.69,6.0
unterhalt-alimente,nach scheidung unterhalt für frau,1,12,8.33,4.17
unterhalt-alimente,unterhaltsanspruch nach scheidung,1,12,8.33,6.42
unterhalt-alimente,ja bitte,1,11,9.09,2.36
unterhalt-alimente,taschengeld ehefrau tabelle,1,11,9.09,2.36
unterhalt-alimente,höchste alimente österreich,1,11,9.09,8.55
unterhalt-alimente,wie lange unterhalt zahlen,1,10,10.0,2.4
unterhalt-alimente,unterhalt ohne scheidung,1,9,11.11,4.22
unterhalt-alimente,wie werden unterhaltszahlungen berechnet,1,9,11.11,10.11
unterhalt-alimente,alimenterechner,1,9,11.11,18.89
unterhalt-alimente,trennung ohne scheidung mit kindern,1,8,12.5,1.12
unterhalt-alimente,unterhalt scheidung ehefrau,1,8,12.5,17.25
unterhalt-alimente,unterhalt für ehefrau nach scheidung,1,7,14.29,4.57
unterhalt-alimente,wann muss man unterhalt bezahlen,1,7,14.29,5.14
unterhalt-alimente,kann man auf kindesunterhalt verzichten,1,7,14.29,10.0
unterhalt-alimente,kindesunterhalt volljähriges kind berechnung,1,6,16.67,5.0
unterhalt-alimente,kindesunterhalt höchstsatz,1,6,16.67,5.17
unterhalt-alimente,unterhalt beantragen,1,6,16.67,7.33
unterhalt-alimente,unterhaltszahlungen ehefrau,1,6,16.67,7.33
unterhalt-alimente,wie lange muss man kinder finanziell unterstützen,1,6,16.67,9.67
unterhalt-alimente,ab wann muss unterhalt gezahlt werden,1,5,20.0,3.2
unterhalt-alimente,muss der mann unterhalt für die frau zahlen,1,5,20.0,4.8
unterhalt-alimente,scheidung muss der mann unterhalt zahlen,1,5,20.0,5.4
unterhalt-alimente,unterhalt ehefrau scheidung,1,5,20.0,6.0
unterhalt-alimente,ehemann unterhaltspflichtig gegenüber ehefrau,1,4,25.0,3.75
unterhalt-alimente,höchstsatz unterhalt kind,1,4,25.0,7.0
unterhalt-alimente,kindesunterhalt bei neuer ehe,1,4,25.0,7.25
unterhalt-alimente,unterhalt für frau berechnen,1,3,33.33,2.0
unterhalt-alimente,alimente für 1 kind,1,3,33.33,3.67
unterhalt-alimente,muss ich unterhalt zahlen wenn ich nicht verheiratet bin,1,3,33.33,7.0
unterhalt-alimente,trennung haus auszahlung berechnen unverheiratet österreich,1,3,33.33,28.67
unterhalt-alimente,was deckt unterhalt ab,1,2,50.0,4.5
unterhalt-alimente,unterhalt einigung ohne jugendamt,1,2,50.0,8.0
unterhalt-alimente,wie lange muss ich für ein kind unterhalt zahlen,1,2,50.0,9.0
unterhalt-alimente,frau verdient mehr als mann unterhalt kind,1,2,50.0,12.0
unterhalt-alimente,unterhalt rechtsberatung,1,1,100.0,1.0
unterhalt-alimente,unterhalt uneheliches kind,1,1,100.0,1.0
unterhalt-alimente,unterhaltshöhe volljähriges kind,1,1,100.0,1.0
unterhalt-alimente,was bleibt der ehefrau wenn der mann ins heim muss österreich,1,1,100.0,1.0
unterhalt-alimente,wie unterhalt berechnen,1,1,100.0,1.0
unterhalt-alimente,wieviel unterhalt bei 5000 netto,1,1,100.0,1.0
unterhalt-alimente,unterhalt regelung,1,1,100.0,2.0
unterhalt-alimente,österreichisches recht,1,1,100.0,2.0
unterhalt-alimente,scheidung in österreich ablauf,1,1,100.0,3.0
unterhalt-alimente,cuanto es el minimo,1,1,100.0,7.0
unterhalt-alimente,ändert sich der kindesunterhalt bei neuem kind,1,1,100.0,12.0
unterhalt-alimente,unterhalt beratung kostenlos,1,1,100.0,18.0
unterhalt-alimente,alimente bedeutung,0,1271,0.0,7.99
unterhalt-alimente,unterhalt,0,1226,0.0,18.9
unterhalt-alimente,was sind alimente,0,690,0.0,6.94
unterhalt-alimente,unterhalt österreich tabelle,0,659,0.0,5.54
unterhalt-alimente,regelbedarf 2026 österreich,0,572,0.0,9.68
unterhalt-alimente,allimente,0,557,0.0,6.94
unterhalt-alimente,alimente berechnung,0,370,0.0,8.72
unterhalt-alimente,wie werden alimente berechnet,0,340,0.0,7.72
unterhalt-alimente,wie viel alimente pro kind,0,295,0.0,8.31
unterhalt-alimente,trennungsunterhalt österreich,0,288,0.0,11.04
unterhalt-alimente,alimente prozent österreich,0,287,0.0,6.09
unterhalt-alimente,unterhalt für kinder,0,274,0.0,6.38
unterhalt-alimente,alimente rechner österreich 2025,0,273,0.0,8.37
unterhalt-alimente,alimente erhöhung alter,0,261,0.0,8.72
unterhalt-alimente,alimente 1 lehrjahr österreich,0,241,0.0,12.14
unterhalt-alimente,höhe alimente österreich,0,240,0.0,7.79
unterhalt-alimente,wieviel alimente für 2 kinder österreich,0,238,0.0,8.41
unterhalt-alimente,wieviel alimente muss man für kinder zahlen,0,229,0.0,10.53
unterhalt-alimente,alimente prozente,0,227,0.0,3.86
unterhalt-alimente,alimente tabelle,0,225,0.0,20.23
unterhalt-alimente,jugendamt alimente rechner,0,221,0.0,10.26
unterhalt-alimente,"österreich prozentwertmethode kindesunterhalt 0-6 16% 6-10 18% 10-15 20% 
ab 15 22%",0,217,0.0,8.54
unterhalt-alimente,müssen beide eltern unterhalt zahlen wenn kind auszieht österreich,0,215,0.0,12.65
unterhalt-alimente,wieviel unterhalt für kinder,0,199,0.0,5.52
unterhalt-alimente,alimente rückwirkend nachfordern österreich,0,197,0.0,13.03
unterhalt-alimente,alimente österreich 2 kinder,0,196,0.0,7.75
unterhalt-alimente,alimente höhe österreich,0,194,0.0,9.5
unterhalt-alimente,jugendamt alimente,0,189,0.0,10.03
unterhalt-alimente,scheidung unterhalt pension österreich,0,181,0.0,10.96
unterhalt-alimente,alimente für 3 kinder österreich,0,179,0.0,8.41
unterhalt-alimente,regelbedarf österreich 2026,0,174,0.0,10.8
unterhalt-alimente,unterhaltszahlungen,0,173,0.0,7.55
unterhalt-alimente,unterhalt kinder,0,172,0.0,9.2
unterhalt-alimente,wie werden alimente in österreich berechnet,0,156,0.0,8.15
unterhalt-alimente,wie lange zahlt man alimente,0,153,0.0,5.1
unterhalt-alimente,jugendamt wien alimente,0,152,0.0,10.38
unterhalt-alimente,alimente österreich rechner,0,148,0.0,11.68
unterhalt-alimente,alimente österreich prozent,0,146,0.0,6.25
unterhalt-alimente,kindesunterhalt sonderbedarf liste österreich,0,146,0.0,6.9
unterhalt-alimente,wieviel alimente muss man zahlen österreich,0,145,0.0,7.89
unterhalt-alimente,alimente österreich mindestbetrag,0,144,0.0,11.85
unterhalt-alimente,unterhalt frau österreich,0,138,0.0,5.53
unterhalt-alimente,playboygrenze alimente österreich 2026,0,134,0.0,9.32
unterhalt-alimente,alimente obergrenze österreich,0,133,0.0,9.74
unterhalt-alimente,unterhaltsrecht österreich,0,132,0.0,9.68
unterhalt-alimente,alimente höhe,0,128,0.0,6.38
unterhalt-alimente,scheidung unterhalt pension,0,124,0.0,12.74
unterhalt-alimente,wie viel unterhalt steht mir zu,0,123,0.0,9.63
unterhalt-alimente,muss man alimente zahlen wenn das kind eine lehre macht,0,120,0.0,9.18
unterhalt-alimente,was ist alimente,0,119,0.0,8.29
unterhalt-alimente,unterhalt anwalt,0,119,0.0,26.19
unterhalt-alimente,alimente auszahlung 2026,0,116,0.0,9.3
unterhalt-alimente,unterhaltszahlungen kinder,0,113,0.0,6.04
unterhalt-alimente,wie viel alimente für 2 kinder,0,113,0.0,8.38
unterhalt-alimente,nachehelicher unterhalt österreich,0,112,0.0,7.71
unterhalt-alimente,alimente während zivildienst österreich,0,109,0.0,11.17
unterhalt-alimente,haushaltsgeld ehefrau österreich,0,108,0.0,7.71
unterhalt-alimente,"österreich prozentwertmethode unterhalt 0-6 16% 6-10 18% 10-15 20% ab 15 
22%",0,104,0.0,6.47
unterhalt-alimente,alimente tabelle österreich,0,104,0.0,13.12
unterhalt-alimente,wie lange muss man alimente zahlen wenn kind studiert österreich,0,103,0.0,4.42
unterhalt-alimente,kindesunterhalt österreich tabelle,0,101,0.0,9.9
unterhalt-alimente,alimente wie hoch,0,101,0.0,10.37
unterhalt-alimente,höchstgrenze alimente österreich,0,100,0.0,6.67
unterhalt-alimente,prozentwertmethode 16% 18% 20% 22% kindesunterhalt österreich,0,99,0.0,10.14
unterhalt-alimente,was sind unterhaltszahlungen,0,97,0.0,3.9
unterhalt-alimente,wie viel alimente muss man zahlen,0,97,0.0,6.05
unterhalt-alimente,alimente staffelung,0,97,0.0,8.71
unterhalt-alimente,alimente mindestbetrag österreich,0,97,0.0,10.19
unterhalt-alimente,wie hoch ist das existenzminimum in österreich,0,97,0.0,13.36
unterhalt-alimente,wieviel unterhalt bei scheidung,0,96,0.0,7.18
unterhalt-alimente,alimente österreich obergrenze,0,96,0.0,7.6
unterhalt-alimente,alimente zahlen,0,96,0.0,13.71
unterhalt-alimente,alimente neu berechnen lassen österreich,0,95,0.0,6.56
unterhalt-alimente,alimente kinder,0,94,0.0,10.5
unterhalt-alimente,kindesunterhalt,0,94,0.0,46.44
unterhalt-alimente,unterhaltsberechtigte personen,0,93,0.0,12.69
unterhalt-alimente,wie viele alimente muss man zahlen österreich,0,92,0.0,6.67
unterhalt-alimente,alemente,0,92,0.0,6.76
unterhalt-alimente,wie lange muss man unterhalt zahlen,0,90,0.0,5.41
unterhalt-alimente,wieviel prozent alimente österreich,0,90,0.0,6.24
unterhalt-alimente,österreich scheidung unterhalt,0,89,0.0,6.26
unterhalt-alimente,wie lange unterhalt für kinder,0,89,0.0,7.93
unterhalt-alimente,alimente rechner österreich 2026,0,89,0.0,9.46
unterhalt-alimente,mindestunterhalt österreich,0,89,0.0,11.89
unterhalt-alimente,alimente neu berechnen lassen,0,88,0.0,6.75
unterhalt-alimente,rechtsanwältin für kindesunterhalt wien,0,88,0.0,49.12
unterhalt-alimente,alimenten,0,87,0.0,10.21
unterhalt-alimente,unterhaltsvorschuss österreich höhe,0,86,0.0,11.12
unterhalt-alimente,unterhalt in österreich,0,85,0.0,6.54
unterhalt-alimente,kinder alimente österreich,0,85,0.0,6.68
unterhalt-alimente,alimente pro kind österreich,0,84,0.0,7.98
unterhalt-alimente,regelbedarfssatz 2026 österreich,0,84,0.0,8.79
unterhalt-alimente,österreich prozentwertmethode kindesunterhalt 16% 18% 20% 22%,0,84,0.0,8.85
unterhalt-alimente,jugendwohlfahrt regelbedarf 2026,0,83,0.0,6.71
unterhalt-alimente,alimente zurückfordern österreich,0,82,0.0,13.05
unterhalt-alimente,zugewinnausgleich scheidung,0,81,0.0,1.0
unterhalt-alimente,alimente nachfordern,0,81,0.0,12.0
unterhalt-alimente,unterhalt kind österreich,0,80,0.0,6.92
unterhalt-alimente,bis wann muss man alimente zahlen,0,79,0.0,4.92
unterhalt-alimente,unterhaltstabelle österreich,0,79,0.0,7.11
unterhalt-alimente,unterhaltszahlung,0,79,0.0,15.03
unterhalt-alimente,unterhalt nach scheidung berechnen österreich,0,78,0.0,5.18
unterhalt-alimente,unterhaltspflichtig,0,78,0.0,6.19
unterhalt-alimente,regelsatz alimente österreich 2026,0,77,0.0,3.06
unterhalt-alimente,wie hoch sind alimente,0,77,0.0,5.4
unterhalt-alimente,unterhalt für behindertes kind über 18 österreich,0,77,0.0,10.65
unterhalt-alimente,scheidung unterhalt kinder österreich,0,76,0.0,5.45
unterhalt-alimente,alimente prozente österreich,0,76,0.0,6.89
unterhalt-alimente,unterhaltspflichtige kinder,0,75,0.0,8.09
unterhalt-alimente,wie lange bekommt man alimente,0,74,0.0,3.3
unterhalt-alimente,unterhalt für frau nach scheidung,0,74,0.0,4.12
unterhalt-alimente,wie viel zahlt man alimente in österreich,0,74,0.0,8.28
unterhalt-alimente,alimente zahlen österreich,0,74,0.0,8.59
unterhalt-alimente,unterhalt prozent österreich,0,74,0.0,8.88
unterhalt-alimente,wann muss man unterhalt zahlen,0,73,0.0,4.64
unterhalt-alimente,alimentenzahlung österreich,0,73,0.0,8.95
unterhalt-alimente,alimente nicht zahlen strafe österreich,0,71,0.0,10.07
unterhalt-alimente,unterhaltsrechner für österreich,0,70,0.0,49.76
unterhalt-alimente,finanzielle unterstützung bei trennung mit kind österreich,0,69,0.0,12.91
unterhalt-alimente,unterhalt ehefrau,0,69,0.0,17.0
unterhalt-alimente,"einvernehmliche unterhaltsvereinbarung ändern jugendamt österreich ohne 
gericht",0,68,0.0,4.18
unterhalt-alimente,alimente altersstufen,0,68,0.0,6.28
unterhalt-alimente,ehegatten unterhalt österreich,0,67,0.0,6.94
unterhalt-alimente,alimente österreich tabelle,0,67,0.0,7.87
unterhalt-alimente,unterhaltspflichtige personen,0,67,0.0,10.39
unterhalt-alimente,geteiltes sorgerecht alimente,0,67,0.0,13.07
unterhalt-alimente,kinder unterhalt,0,66,0.0,15.15
unterhalt-alimente,wann muss man unterhalt zahlen österreich,0,65,0.0,2.94
unterhalt-alimente,alimente lehre österreich,0,65,0.0,3.25
unterhalt-alimente,was bedeutet alimente,0,65,0.0,8.23
unterhalt-alimente,ehegattenunterhalt,0,64,0.0,17.64
unterhalt-alimente,unterhalt österreich kind,0,63,0.0,5.71
unterhalt-alimente,wie hoch alimente österreich,0,63,0.0,6.29
unterhalt-alimente,selbsterhaltungsfähigkeit betrag,0,63,0.0,6.44
unterhalt-alimente,wann muss man alimente zahlen,0,63,0.0,6.84
unterhalt-alimente,ehegattenunterhalt nach scheidung,0,63,0.0,11.11
